config_id,control,delta,K,radius_fraction,quadrature_nodes,z,dimensionless_boundary,boundary
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-1.0,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.96875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.9375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.90625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.84375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.8125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.78125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.75,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.71875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.6875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.65625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.59375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.5625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.53125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.5,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.46875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.4375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.40625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.34375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.3125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.28125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.25,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.21875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.1875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.15625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.09375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.0625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,-0.03125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.0,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.03125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.0625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.09375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.15625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.1875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.21875,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.25,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.28125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.3125,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.34375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.375,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.40625,0.0,0.0
delta0.5_K32_radius0_common,common,0.5,32,0.0,128,0.4375,0.0,0.0
