config_id,boundary_dimensionless_error,normalized_regret_error,radius_temperature_normalized_error,integrated_score_error
delta0.5_K32_radius0_common,0.0,0,0,3.3306690738754696e-16
delta0.5_K32_radius1_aligned,0.0,0,0,1.6653345369377348e-16
delta0.5_K32_radius1_transverse,5.551115123125783e-16,2.098321516541546e-14,1.0668549377257364e-16,5.551115123125783e-16
delta0.5_K32_radius0.125_aligned,8.109141464091473e-13,1.9727452585394273e-24,1.0097419586828944e-26,2.220446049250313e-16
delta0.5_K32_radius0.125_transverse,4.440892098500626e-16,2.098321516541546e-14,1.0755285551056204e-16,5.551115123125783e-16
delta0.5_K32_radius0.015625_aligned,0.0,0,0,2.220446049250313e-16
delta0.5_K32_radius0.015625_transverse,4.440892098500626e-16,1.9984014443252818e-14,1.0148132334464322e-16,4.440892098500626e-16
delta0.5_K128_radius0_common,0.0,0,0,2.220446049250313e-16
delta0.5_K128_radius1_aligned,2.0159374896242268e-13,1.2192011886217288e-25,6.31088724176809e-28,1.1102230246251565e-16
delta0.5_K128_radius1_transverse,7.771561172376096e-16,2.098321516541546e-14,1.0928757898653885e-16,4.440892098500626e-16
delta0.5_K128_radius0.125_aligned,0.0,0,0,2.220446049250313e-16
delta0.5_K128_radius0.125_transverse,4.440892098500626e-16,1.9984014443252818e-14,1.0321604682062002e-16,4.440892098500626e-16
delta0.5_K128_radius0.015625_aligned,1.2901999933595052e-11,4.993848068594601e-22,2.5849394142282096e-24,3.3306690738754696e-16
delta0.5_K128_radius0.015625_transverse,8.881784197001252e-16,2.0761170560490427e-14,1.0668549377257364e-16,4.440892098500626e-16
delta0.5_K512_radius0_common,0.0,0,0,2.220446049250313e-16
delta0.5_K512_radius1_aligned,4.023836446787259e-13,4.857377925148053e-25,2.524354896707236e-27,2.220446049250313e-16
delta0.5_K512_radius1_transverse,4.440892098500626e-16,1.965094753586527e-14,1.0408340855860843e-16,4.440892098500626e-16
delta0.5_K512_radius0.125_aligned,0.0,0,0,2.220446049250313e-16
delta0.5_K512_radius0.125_transverse,8.881784197001252e-16,2.098321516541546e-14,1.1015494072452725e-16,4.440892098500626e-16
delta0.5_K512_radius0.015625_aligned,0.0,0,0,3.3306690738754696e-16
delta0.5_K512_radius0.015625_transverse,8.881784197001252e-16,2.042810365310288e-14,1.0842021724855044e-16,4.440892098500626e-16
delta1_K32_radius0_common,1.1102230246251565e-16,0,0,2.220446049250313e-16
delta1_K32_radius1_aligned,0.0,0,0,2.220446049250313e-16
delta1_K32_radius1_transverse,3.3306690738754696e-16,2.0872192862952943e-14,2.7321894746634712e-17,4.440892098500626e-16
delta1_K32_radius0.125_aligned,0.0,0,0,3.3306690738754696e-16
delta1_K32_radius0.125_transverse,5.551115123125783e-16,2.142730437526552e-14,2.8189256484623115e-17,4.440892098500626e-16
delta1_K32_radius0.015625_aligned,0.0,0,0,2.220446049250313e-16
delta1_K32_radius0.015625_transverse,8.881784197001252e-16,2.098321516541546e-14,2.710505431213761e-17,4.440892098500626e-16
delta1_K128_radius0_common,0.0,0,0,1.1102230246251565e-16
delta1_K128_radius1_aligned,2.273738922843903e-12,1.550966606776606e-23,2.01948391736579e-26,2.220446049250313e-16
delta1_K128_radius1_transverse,7.771561172376096e-16,2.098321516541546e-14,2.710505431213761e-17,4.440892098500626e-16
delta1_K128_radius0.125_aligned,3.637982276550245e-11,3.970474513348111e-21,5.169878828456422e-24,1.6653345369377348e-16
delta1_K128_radius0.125_transverse,8.881784197001252e-16,2.0650148258027912e-14,2.710505431213761e-17,5.551115123125783e-16
delta1_K128_radius0.015625_aligned,0.0,0,0,2.220446049250313e-16
delta1_K128_radius0.015625_transverse,8.881784197001252e-16,2.1316282072803006e-14,2.7538735181131813e-17,4.440892098500626e-16
delta1_K512_radius0_common,0.0,0,0,1.1102230246251565e-16
delta1_K512_radius1_aligned,0.0,0,0,1.1102230246251565e-16
delta1_K512_radius1_transverse,4.440892098500626e-16,2.0317081350640365e-14,2.667137344314341e-17,4.440892098500626e-16
delta1_K512_radius0.125_aligned,0.0,0,0,2.220446049250313e-16
delta1_K512_radius0.125_transverse,8.881784197001252e-16,2.1094237467877974e-14,2.7538735181131813e-17,4.440892098500626e-16
delta1_K512_radius0.015625_aligned,0.0,0,0,1.1102230246251565e-16
delta1_K512_radius0.015625_transverse,8.881784197001252e-16,2.0650148258027912e-14,2.667137344314341e-17,4.440892098500626e-16
