config_id,control,delta,p,K,radius_fraction,eta,h,omega,w,d,a,quadrature_nodes,capacity_threshold,scaled_threshold,capacity_mass,capacity_mass_error,dimensionless_mass_balance,regret,normalized_regret,radius_temperature_normalized_regret,limiting_constant,endpoint_score_margin,analytic_global_slope_lower_bound
delta0.5_K32_radius0_common,common,0.5,1.5,32,0.0,0.0,0.0,0.00017263349150062197,0.9998273814096605,0.0,0.0,128,0.0,,0.5,0.0,0.0,0.0,,,0.005208333333333332,0.9996646914541165,0.9988516228040389
delta0.5_K32_radius1_aligned,aligned,0.5,1.5,32,1.0,0.02500000000000001,0.06195842019672743,0.00017263349150062197,0.9998273814096605,0.0010950913947249024,0.0010952804604940191,128,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.005208333333333332,0.9985701345400029,0.9977543932549022
delta0.5_K32_radius1_transverse,transverse,0.5,1.5,32,1.0,0.02500000000000001,0.06195842019672743,0.00017263349150062197,0.9998273814096605,0.0010950913947249024,0.0010952804604940191,128,0.0,0.0,0.5,0.0,-7.914675859144182e-18,9.996994057158362e-08,0.9999999997657738,0.005118460957265078,0.005208333333333332,0.9985699563952619,0.9988505537268331
delta0.5_K32_radius0.125_aligned,aligned,0.5,1.5,32,0.125,0.003125000000000001,0.007744802524590929,0.00017263349150062197,0.9998273814096605,0.0001368864243406128,0.0001369100575617524,128,0.0,0.0,0.49999999999999994,5.551115123125783e-17,8.109141464091473e-13,3.0814879110195774e-33,1.9727452585394273e-24,1.0097419586828944e-26,0.005208333333333332,0.9995278718398523,0.9987144691103969
delta0.5_K32_radius0.125_transverse,transverse,0.5,1.5,32,0.125,0.003125000000000001,0.007744802524590929,0.00017263349150062197,0.9998273814096605,0.0001368864243406128,0.0001369100575617524,128,0.0,0.0,0.5,0.0,4.445228907190568e-18,1.5620303217911784e-09,0.999999999996361,0.005118460958445329,0.005208333333333332,0.9995278495717597,0.9988514891693882
delta0.5_K32_radius0.015625_aligned,aligned,0.5,1.5,32,0.015625,0.00039062500000000013,0.0009681003155738661,0.00017263349150062197,0.9998273814096605,1.71108030425766e-05,1.711375719521905e-05,128,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.005208333333333332,0.9996475890023335,0.9988344785923337
delta0.5_K32_radius0.015625_transverse,transverse,0.5,1.5,32,0.015625,0.00039062500000000013,0.0009681003155738661,0.00017263349150062197,0.9998273814096605,1.71108030425766e-05,1.711375719521905e-05,128,0.0,0.0,0.5,0.0,-3.2742905609062234e-17,2.4406723778075105e-11,0.9999999999999641,0.005118460958463773,0.005208333333333332,0.9996475862188219,0.9988516060997076
delta0.5_K128_radius0_common,common,0.5,1.5,128,0.0,0.0,0.0,2.1579186437577746e-05,0.9999784210463931,0.0,0.0,128,0.0,,0.5,0.0,0.0,0.0,,,0.005208333333333332,0.9999682489054253,0.9999173896906054
delta0.5_K128_radius1_aligned,aligned,0.5,1.5,128,1.0,0.02500000000000001,0.06230718827862129,2.1579186437577746e-05,0.9999784210463931,0.0005507110577029635,0.0005507229417277733,128,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.005208333333333332,0.9994175546536342,0.9993666114087992
delta0.5_K128_radius1_transverse,transverse,0.5,1.5,128,1.0,0.02500000000000001,0.06230718827862129,2.1579186437577746e-05,0.9999784210463931,0.0005507110577029635,0.0005507229417277733,128,-1.2228241923550064e-19,-2.220446049250313e-16,0.5,0.0,-2.282245573081987e-16,2.5274646545347988e-08,0.9999999999963187,0.005176247612487264,0.005208333333333332,0.999417549051694,0.9999173560785538
delta0.5_K128_radius0.125_aligned,aligned,0.5,1.5,128,0.125,0.003125000000000001,0.0077883985348276615,2.1579186437577746e-05,0.9999784210463931,6.883888221287043e-05,6.884036771597166e-05,128,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.005208333333333332,0.9998994121239515,0.9998485424053796
delta0.5_K128_radius0.125_transverse,transverse,0.5,1.5,128,0.125,0.003125000000000001,0.0077883985348276615,2.1579186437577746e-05,0.9999784210463931,6.883888221287043e-05,6.884036771597166e-05,128,0.0,0.0,0.5,0.0,-8.673617379884035e-18,3.949163522725016e-10,0.9999999999999635,0.005176247612506129,0.005208333333333332,0.999899411423709,0.9999173854890989
delta0.5_K128_radius0.015625_aligned,aligned,0.5,1.5,128,0.015625,0.00039062500000000013,0.0009735498168534577,2.1579186437577746e-05,0.9999784210463931,8.604860276608804e-06,8.605045964496457e-06,128,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.005208333333333332,0.9999596443077411,0.9999087837799522
delta0.5_K128_radius0.015625_transverse,transverse,0.5,1.5,128,0.015625,0.00039062500000000013,0.0009735498168534577,2.1579186437577746e-05,0.9999784210463931,8.604860276608804e-06,8.605045964496457e-06,128,0.0,0.0,0.5,0.0,-2.981555974335137e-17,6.170568004258044e-12,0.9999999999999969,0.005176247612506303,0.005208333333333332,0.9999596442202108,0.9999173891654171
delta0.5_K512_radius0_common,common,0.5,1.5,512,0.0,0.0,0.0,2.6973983046972182e-06,0.9999973026053333,0.0,0.0,128,0.0,,0.5,0.0,0.0,0.0,,,0.005208333333333332,0.999996666824817,0.9999934879280586
delta0.5_K512_radius1_aligned,aligned,0.5,1.5,512,1.0,0.02500000000000001,0.06243166110563332,2.6973983046972182e-06,0.9999973026053333,0.0002759108240599394,0.0002759115683023322,128,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.005208333333333332,0.9997207565270143,0.9997175749989688
delta0.5_K512_radius1_transverse,transverse,0.5,1.5,512,1.0,0.02500000000000001,0.06243166110563332,2.6973983046972182e-06,0.9999973026053333,0.0002759108240599394,0.0002759115683023322,128,0.0,0.0,0.5,0.0,1.1926223897340549e-17,6.343932793587478e-09,0.9999999999999631,0.005196949744506858,0.005208333333333332,0.9997207563515953,0.9999934868755437
delta0.5_K512_radius0.125_aligned,aligned,0.5,1.5,512,0.125,0.003125000000000001,0.007803957638204165,2.6973983046972182e-06,0.9999973026053333,3.4488853007492426e-05,3.448894603779153e-05,128,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.005208333333333332,0.9999621780375917,0.9999589988119224
delta0.5_K512_radius0.125_transverse,transverse,0.5,1.5,512,0.125,0.003125000000000001,0.007803957638204165,2.6973983046972182e-06,0.9999973026053333,3.4488853007492426e-05,3.448894603779153e-05,128,-7.658063740366134e-21,-2.220446049250313e-16,0.5,0.0,1.4690939437178585e-16,9.912394989980768e-11,0.9999999999999968,0.0051969497445070335,0.005208333333333332,0.9999621780156643,0.9999934877964943
